,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,Moindou,-21.6924,165.677,70.43,76,77,5.55,NC,1654194448
159,Harper,4.375,-7.7169,80.22,82,69,6.17,LR,1654194449
160,Aquiraz,-3.9014,-38.3911,82.24,85,99,8.84,BR,1654194449
161,Takoradze,4.8845,-1.7554,80.67,81,54,10.02,GH,1654194450
162,Moose Factory,51.2585,-80.6094,66.18,42,0,5.75,CA,1654194450
163,Severnyy,50.677,36.5532,66.24,82,0,2.24,RU,1654194450
164,Portalegre,39.2938,-7.4312,71.11,51,96,8.01,PT,1654194451
165,Ikom,5.9667,8.7063,80.8,74,74,2.55,NG,1654194451
166,Yulara,-25.2406,130.9889,53.47,72,61,15.32,AU,1654194452
167,Amarante,-6.2411,-42.8547,87.26,56,50,2.06,BR,1654194452
168,Baruun-Urt,46.6806,113.2792,63.05,45,100,8.43,MN,1654194453
169,Pecos,31.4229,-103.4932,73.47,56,100,6.91,US,1654194308
170,Cabo San Lucas,22.8909,-109.9124,85.87,39,0,9.22,MX,1654194306
171,Byron Bay,-28.65,153.6167,47.95,82,6,4.14,AU,1654194454
172,Ca Mau,9.1769,105.15,78.04,88,100,3.51,VN,1654194199
173,Upernavik,72.7868,-56.1549,30.61,63,100,0.63,GL,1654194454
174,Raudeberg,61.9875,5.1352,49.87,95,96,7.16,NO,1654194455
175,Chui,-33.6971,-53.4616,51.8,62,70,11.07,UY,1654194455
176,São João da Barra,-21.6403,-41.0511,89.69,60,36,6.29,BR,1654194455
177,São Filipe,14.8961,-24.4956,77.4,70,37,10.69,CV,1654194456
178,Hithadhoo,-0.6,73.0833,83.34,72,88,10.49,MV,1654194456
179,Cockburn Town,21.4612,-71.1419,80.6,78,99,17.36,TC,1654194456
180,Tirano,46.2154,10.1679,75.2,65,42,2.66,IT,1654194457
181,Ostrovnoy,68.0531,39.5131,47.82,68,90,14.83,RU,1654194457
182,Provideniya,64.3833,-173.3,42.19,82,29,5.06,RU,1654194458
183,Piney Green,34.716,-77.3202,88.34,52,40,10.36,US,1654194458
184,La Ronge,55.1001,-105.2842,57.45,15,20,19.57,CA,1654194458
185,Dikson,73.5069,80.5464,29.66,90,100,30.56,RU,1654194459
186,Port Hardy,50.6996,-127.4199,55.58,100,100,3.44,CA,1654194449
187,Rosetta,31.4044,30.4164,71.47,87,1,9.53,EG,1654194459
188,Verkhoyansk,67.5447,133.385,57.88,68,100,2.55,RU,1654194460
189,Haines Junction,60.7522,-137.5108,69.44,26,22,1.23,CA,1654194460
190,Abu Samrah,35.3029,37.1841,78.89,47,52,18.66,SY,1654194461
191,Hobyo,5.3505,48.5268,78.87,81,81,24.74,SO,1654194461
192,Namatanai,-3.6667,152.4333,77.95,81,63,3.69,PG,1654194462
193,Labuhan,-6.8844,112.2051,77.41,84,56,9.62,ID,1654194462
194,Hailey,43.5196,-114.3153,66.27,45,40,6.91,US,1654194463
195,Port Lincoln,-34.7333,135.8667,51.58,82,95,16.2,AU,1654194449
196,Bay Roberts,47.5999,-53.2648,42.3,91,100,8.99,CA,1654194463
197,Tynda,55.1667,124.7167,44.56,98,98,5.32,RU,1654194463
198,Cabedelo,-6.9811,-34.8339,75.87,75,54,8.97,BR,1654194464
199,Buala,-8.145,159.5921,79.63,84,92,7.87,SB,1654194464
200,Longyearbyen,78.2186,15.6401,48.04,66,0,11.5,SJ,1654194465
201,Leh,34.1667,77.5833,49.87,29,8,6.33,IN,1654194465
202,Zdvinsk,54.7021,78.661,45.1,71,16,7.47,RU,1654194466
203,Sharkan,57.2989,53.8712,60.24,83,13,5.88,RU,1654194466
204,Cayenne,4.9333,-52.3333,87.84,58,0,2.3,GF,1654194466
205,Pīshvā,35.308,51.7267,84.61,19,2,9.53,IR,1654194467
206,Sitka,57.0531,-135.33,53.49,82,75,3.44,US,1654194467
207,Altay,47.8667,88.1167,45.88,71,8,0.87,CN,1654194467
208,Bremerton,47.5673,-122.6326,67.86,71,20,1.01,US,1654194319
209,Jijiga,9.35,42.8,63.37,85,78,11.79,ET,1654194468
210,Koslan,63.4564,48.8989,64.99,42,41,9.26,RU,1654194468
211,Shellbrook,53.2168,-106.4011,61.83,35,100,17.02,CA,1654194468
212,Tallahassee,30.4383,-84.2807,92.14,46,75,5.75,US,1654194469
213,Santa Maria,-29.6842,-53.8069,56.5,47,20,9.22,BR,1654194469
214,Bethel,41.3712,-73.414,73.96,79,98,1.99,US,1654194470
215,Dolinsk,47.35,142.8,40.77,96,100,9.33,RU,1654194470
216,Arraial do Cabo,-22.9661,-42.0278,75.06,83,75,18.41,BR,1654194471
217,Hofn,64.2539,-15.2082,50.63,81,100,14.97,IS,1654194471
218,Upington,-28.4478,21.2561,53.98,30,0,1.14,ZA,1654194472
219,Sinnamary,5.3833,-52.95,74.39,92,100,6.04,GF,1654194472
220,Flinders,-34.5833,150.8552,43.95,84,99,3.0,AU,1654194472
221,Show Low,34.2542,-110.0298,78.93,10,0,14.97,US,1654194473
222,Jamestown,42.097,-79.2353,71.01,56,0,13.8,US,1654194241
223,Roanoke Rapids,36.4615,-77.6542,92.19,55,0,11.5,US,1654194473
224,Urucará,-2.5364,-57.76,84.09,75,92,3.27,BR,1654194474
